id,trialNum,time,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,condition,robotCondition,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,timeout,failed_images,failed_audio,failed_video,question_order,view_history,trial,saliencyRobot,saliencyLabel,promptRobot,promptLabel,imgNum,buttonOrder,sal,buttonPaths,responseCompare,robotCompare,labelCompare
debugpb2JU:debugPLyS9,0,1656464760904,1666,"<p class=""important""><strong>Debugging: </strong>Press any key to start experiment.</p><p>Condition: 0 <br> robotCondition: same. </p>",,html-keyboard-response,0,1668,0.0-0.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,NA,NA,,browser-check,1,2665,0.0-1.0,0,same,1536,779,TRUE,chrome,103.0.0,FALSE,Mac OS,TRUE,60.52,FALSE,TRUE,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,NA,NA,,browser-check,2,3680,0.0-2.0,0,same,1536,779,TRUE,chrome,103.0.0,FALSE,Mac OS,TRUE,59.98,FALSE,TRUE,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,NA,NA,,preload,3,5317,0.0-3.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,1857,NA,,survey-multi-choice,4,7176,0.0-4.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,2557,NA,,survey-text,5,9740,0.0-5.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,6550,NA,,instructions,6,16291,0.0-6.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,2864,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_6.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,7,19157,0.0-7.0-0.0-0.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot1,safe,robot1,safe,6,,/static/stimuli/ax_sal_6.svg,,same,sameRobot,same
debugpb2JU:debugPLyS9,0,1656464760904,3449,"<p><span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_7.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,8,22607,0.0-7.0-0.0-0.1,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot2,toxic,robot2,toxic,7,,/static/stimuli/ax_sal_7.svg,,same,sameRobot,same
debugpb2JU:debugPLyS9,0,1656464760904,4516,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_8.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,9,27125,0.0-7.0-0.0-0.2,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot1,safe,robot1,toxic,8,,/static/stimuli/ax_sal_8.svg,,opp,sameRobot,opp
debugpb2JU:debugPLyS9,0,1656464760904,6115,"<p><span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_9.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,10,33241,0.0-7.0-0.0-0.3,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot2,toxic,robot2,safe,9,,/static/stimuli/ax_sal_9.svg,,opp,sameRobot,opp
debugpb2JU:debugPLyS9,0,1656464760904,4783,NA,,instructions,11,38025,0.0-7.0-1.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,7333,"<p>Both <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> and <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> think the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span>.<br> Only <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_14.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,12,45360,0.0-7.0-2.0-0.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot2,safe,robot1,safe,14,,/static/stimuli/ax_sal_14.svg,,same,sameLabel,same
debugpb2JU:debugPLyS9,0,1656464760904,4031,"<p>Both <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> and <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> think the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span>.<br> Only <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_15.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,13,49392,0.0-7.0-2.0-0.1,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot1,toxic,robot2,toxic,15,,/static/stimuli/ax_sal_15.svg,,same,sameLabel,same
debugpb2JU:debugPLyS9,0,1656464760904,4250,"<p>Both <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> and <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> think the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span>.<br> Only <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_16.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,14,53643,0.0-7.0-2.0-0.2,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot2,toxic,robot1,safe,16,,/static/stimuli/ax_sal_16.svg,,same,sameLabel,opp
debugpb2JU:debugPLyS9,0,1656464760904,4665,"<p>Both <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> and <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> think the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span>.<br> Only <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_17.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,15,58309,0.0-7.0-2.0-0.3,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot1,safe,robot2,toxic,17,,/static/stimuli/ax_sal_17.svg,,opp,sameLabel,opp
debugpb2JU:debugPLyS9,0,1656464760904,1316,NA,,instructions,16,59625,0.0-7.0-3.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,4066,"<p><span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_29.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,17,63693,0.0-8.0-0.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot2,safe,robot2,toxic,29,,/static/stimuli/ax_sal_29.svg,,opp,sameRobot,opp
debugpb2JU:debugPLyS9,0,1656464760904,2897,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_21.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,18,66592,0.0-8.0-0.1,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot1,toxic,robot1,safe,21,,/static/stimuli/ax_sal_21.svg,,same,sameRobot,opp
debugpb2JU:debugPLyS9,0,1656464760904,2564,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_26.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,19,69158,0.0-8.0-0.2,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot1,safe,robot1,toxic,26,,/static/stimuli/ax_sal_26.svg,,same,sameRobot,opp
debugpb2JU:debugPLyS9,0,1656464760904,2599,"<p>Both <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> and <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> think the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span>.<br> Only <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_24.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,20,71759,0.0-8.0-0.3,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot1,safe,robot2,safe,24,,/static/stimuli/ax_sal_24.svg,,same,sameLabel,same
debugpb2JU:debugPLyS9,0,1656464760904,2900,"<p><span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_28.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,21,74660,0.0-8.0-0.4,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot2,safe,robot2,safe,28,,/static/stimuli/ax_sal_28.svg,,same,sameRobot,same
debugpb2JU:debugPLyS9,0,1656464760904,2332,"<p>Both <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> and <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> think the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span>.<br> Only <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_27.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,22,76993,0.0-8.0-0.5,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot2,toxic,robot1,toxic,27,,/static/stimuli/ax_sal_27.svg,,same,sameLabel,same
debugpb2JU:debugPLyS9,0,1656464760904,1964,"<p><span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_25.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,23,78959,0.0-8.0-0.6,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot2,toxic,robot2,toxic,25,,/static/stimuli/ax_sal_25.svg,,same,sameRobot,same
debugpb2JU:debugPLyS9,0,1656464760904,4834,"<p>Both <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> and <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> think the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span>.<br> Only <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_22.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,24,83794,0.0-8.0-0.7,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot2,safe,robot1,safe,22,,/static/stimuli/ax_sal_22.svg,,same,sameLabel,same
debugpb2JU:debugPLyS9,0,1656464760904,3831,"<p>Both <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> and <span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> think the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span>.<br> Only <span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_20.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,25,87626,0.0-8.0-0.8,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot1,safe,robot2,toxic,20,,/static/stimuli/ax_sal_20.svg,,opp,sameLabel,opp
debugpb2JU:debugPLyS9,0,1656464760904,3616,"<p><span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_23.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,26,91244,0.0-8.0-0.9,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,results,robot2,safe,robot2,safe,23,,/static/stimuli/ax_sal_23.svg,,same,sameRobot,same
debugpb2JU:debugPLyS9,0,1656464760904,4715,NA,,survey-text,27,95962,0.0-9.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,1630,"<p class=""important""><strong>Debugging: </strong>Press any key to complete experiment. Thank you!</p>
        
      <p>Average RT: 3160ms</p>",,html-keyboard-response,28,97594,0.0-10.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugD7HON:debugk8FOr,0,1656465049355,2339,"<p class=""important""><strong>Debugging: </strong>Press any key to start experiment.</p><p>Condition: 2 <br> robotCondition: random. </p>",,html-keyboard-response,0,2340,0.0-0.0,2,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
